,GameID,Team,TeamVegas,ClosingSpread,TeamFP,MIN,Pred
1887,21900944.0,Philadelphia,111.75,-4.0,230.75,240.0,242.7428941271781
1888,21900945.0,Portland,116.25,-2.0,229.75,240.01000000000002,249.25803680324722
1889,21900945.0,Sacramento,114.25,2.0,268.25,240.01,244.9744968929588
1890,21900946.0,Brooklyn,112.25,-6.5,241.5,240.01000000000002,244.2396184850338
1891,21900946.0,Chicago,105.75,6.5,223.75,240.0,230.31811377659653
1892,21900947.0,Minnesota,121.0,7.0,238.0,239.98999999999998,254.17942506668436
1893,21900947.0,New Orleans,128.0,-7.0,271.5,240.0,269.17181475269376
1894,21900948.0,LA Clippers,114.5,-2.5,213.25,240.03000000000003,246.64551106250113
1895,21900948.0,LA Lakers,112.0,2.5,242.25,240.02,241.29108617464067
1896,21900949.0,Boston,112.0,-6.5,235.5,240.01,243.84612245634227
1897,21900949.0,Oklahoma City,105.5,6.5,222.75,240.0,229.92461774790502
1898,21900950.0,Milwaukee,117.75,-6.5,242.0,239.98999999999995,252.8965311162471
1899,21900950.0,Phoenix,111.25,6.5,280.25,239.98999999999998,238.97502640780985
1900,21900951.0,Miami,119.5,-5.5,235.5,240.02999999999997,255.36711039689862
1901,21900951.0,Washington,114.0,5.5,195.75,239.99999999999994,243.58737564360555
1902,21900952.0,Dallas,112.75,-6.5,226.0,240.01,245.02661054241682
1903,21900952.0,Indiana,106.25,6.5,236.25,240.00000000000003,231.10510583397956
1904,21900953.0,Houston,118.5,-8.0,232.5,239.99999999999997,254.50285858260526
1905,21900953.0,Orlando,110.5,8.0,262.25,240.0,237.3686989414517
1908,21900955.0,Detroit,102.25,6.0,190.25,239.99999999999997,224.95111583500983
1909,21900955.0,New York,108.25,-6.0,219.75,240.0,237.80173556587502
1910,21900956.0,Sacramento,110.25,5.0,245.0,240.01,237.8268816733274
1911,21900956.0,Toronto,115.25,-5.0,243.5,239.98999999999998,248.53573144904834
1914,21900958.0,Denver,114.0,-7.5,263.0,239.98999999999998,247.27798360606346
1915,21900958.0,Milwaukee,106.5,7.5,229.5,239.99,231.214708942482
1916,21900959.0,Toronto,109.25,6.0,237.75,240.02,235.96900463837224
1917,21900959.0,Utah,115.25,-6.0,216.0,239.98999999999998,248.81962436923743
1918,21900960.0,Boston,109.0,-3.0,238.5,240.00999999999996,238.13054489138236
1919,21900960.0,Indiana,106.0,3.0,235.75,239.99999999999997,231.70523502594978
1920,21900961.0,New York,112.5,5.0,244.0,240.0,241.36834593155103
1921,21900961.0,Washington,117.5,-5.0,241.75,240.00000000000003,252.07719570727198
1922,21900962.0,Chicago,110.75,-4.0,244.5,240.01000000000002,241.16891001241203
1923,21900962.0,Cleveland,106.75,4.0,230.25,240.0,232.60183019183526
1924,21900963.0,Houston,131.25,-13.0,237.75,240.0,275.99062064681783
1925,21900963.0,Minnesota,118.25,13.0,227.75,240.0,248.1476112299433
1926,21900964.0,Memphis,110.25,-2.0,239.25,239.98,239.81413211465087
1927,21900964.0,Orlando,108.25,2.0,258.25,240.01000000000002,235.53059220436245
